date,Passengers
1985-Jan,"472,565"
1985-Feb,"384,175"
1985-Mar,"441,095"
1985-Apr,"397,076"
1985-May,"423,252"
1985-Jun,"403,023"
1985-Jul,"402,775"
1985-Aug,"445,703"
1985-Sep,"441,150"
1985-Oct,"427,581"
1985-Nov,"445,214"
1985-Dec,"516,764"
1986-Jan,"529,800"
1986-Feb,"411,692"
1986-Mar,"466,973"
1986-Apr,"452,302"
1986-May,"454,437"
1986-Jun,"429,986"
1986-Jul,"468,522"
1986-Aug,"517,035"
1986-Sep,"488,399"
1986-Oct,"495,952"
1986-Nov,"525,617"
1986-Dec,"577,722"
1987-Jan,"615,083"
1987-Feb,"497,167"
1987-Mar,"520,467"
1987-Apr,"504,091"
1987-May,"503,746"
1987-Jun,"481,180"
1987-Jul,"578,017"
1987-Aug,"582,982"
1987-Sep,"577,253"
1987-Oct,"619,931"
1987-Nov,"589,496"
1987-Dec,"645,019"
1988-Jan,"694,638"
1988-Feb,"567,891"
1988-Mar,"608,905"
1988-Apr,"586,001"
1988-May,"572,184"
1988-Jun,"589,426"
1988-Jul,"686,808"
1988-Aug,"679,612"
1988-Sep,"695,302"
1988-Oct,"705,324"
1988-Nov,"653,745"
1988-Dec,"726,946"
1989-Jan,"759,105"
1989-Feb,"605,516"
1989-Mar,"652,597"
1989-Apr,"614,561"
1989-May,"554,201"
1989-Jun,"596,871"
1989-Jul,"687,601"
1989-Aug,"662,764"
1989-Sep,"683,148"
1989-Oct,"684,053"
1989-Nov,"654,152"
1989-Dec,"776,534"
1990-Jan,"805,057"
1990-Feb,"642,429"
1990-Mar,"674,544"
1990-Apr,"706,087"
1990-May,"622,084"
1990-Jun,"654,316"
1990-Jul,"747,907"
1990-Aug,"727,970"
1990-Sep,"735,768"
1990-Oct,"726,454"
1990-Nov,"683,420"
1990-Dec,"796,189"
1991-Jan,"803,517"
1991-Feb,"617,877"
1991-Mar,"667,751"
1991-Apr,"620,954"
1991-May,"615,795"
1991-Jun,"680,909"
1991-Jul,"773,907"
1991-Aug,"746,672"
1991-Sep,"761,540"
1991-Oct,"788,793"
1991-Nov,"759,914"
1991-Dec,"814,948"
1992-Jan,"836,957"
1992-Feb,"723,041"
1992-Mar,"720,362"
1992-Apr,"749,081"
1992-May,"684,100"
1992-Jun,"683,574"
1992-Jul,"829,566"
1992-Aug,"756,952"
1992-Sep,"786,876"
1992-Oct,"813,432"
1992-Nov,"803,152"
1992-Dec,"920,835"
1993-Jan,"954,950"
1993-Feb,"762,122"
1993-Mar,"802,406"
1993-Apr,"801,714"
1993-May,"765,014"
1993-Jun,"762,046"
1993-Jul,"875,868"
1993-Aug,"840,410"
1993-Sep,"851,241"
1993-Oct,"912,066"
1993-Nov,"870,832"
1993-Dec,"979,616"
1994-Jan,"996,876"
1994-Feb,"878,229"
1994-Mar,"936,622"
1994-Apr,"868,914"
1994-May,"778,175"
1994-Jun,"833,127"
1994-Jul,"975,958"
1994-Aug,"921,183"
1994-Sep,"931,157"
1994-Oct,"988,011"
1994-Nov,"933,872"
1994-Dec,"1,071,476"
1995-Jan,"1,108,644"
1995-Feb,"929,699"
1995-Mar,"969,214"
1995-Apr,"967,666"
1995-May,"869,725"
1995-Jun,"899,148"
1995-Jul,"1,079,991"
1995-Aug,"1,017,517"
1995-Sep,"994,897"
1995-Oct,"1,040,906"
1995-Nov,"1,017,149"
1995-Dec,"1,168,652"
1996-Jan,"1,184,228"
1996-Feb,"1,061,390"
1996-Mar,"1,099,872"
1996-Apr,"1,061,994"
1996-May,"915,768"
1996-Jun,"1,037,087"
1996-Jul,"1,132,101"
1996-Aug,"1,106,417"
1996-Sep,"1,093,769"
1996-Oct,"1,154,728"
1996-Nov,"1,132,085"
1996-Dec,"1,287,748"
1997-Jan,"1,289,597"
1997-Feb,"1,119,171"
1997-Mar,"1,197,457"
1997-Apr,"1,092,930"
1997-May,"1,019,217"
1997-Jun,"1,093,260"
1997-Jul,"1,275,058"
1997-Aug,"1,161,855"
1997-Sep,"1,147,596"
1997-Oct,"1,227,022"
1997-Nov,"1,189,158"
1997-Dec,"1,262,534"
1998-Jan,"1,294,365"
1998-Feb,"1,084,544"
1998-Mar,"1,108,555"
1998-Apr,"1,167,442"
1998-May,"1,064,798"
1998-Jun,"1,097,186"
1998-Jul,"1,247,326"
1998-Aug,"1,203,283"
1998-Sep,"1,193,594"
1998-Oct,"1,278,742"
1998-Nov,"1,192,642"
1998-Dec,"1,304,828"
1999-Jan,"1,374,963"
1999-Feb,"1,142,774"
1999-Mar,"1,228,347"
1999-Apr,"1,184,670"
1999-May,"1,079,920"
1999-Jun,"1,132,972"
1999-Jul,"1,317,657"
1999-Aug,"1,283,836"
1999-Sep,"1,289,682"
1999-Oct,"1,346,342"
1999-Nov,"1,281,604"
1999-Dec,"1,323,796"
2000-Jan,"1,405,394"
2000-Feb,"1,257,078"
2000-Mar,"1,291,225"
2000-Apr,"1,375,755"
2000-May,"1,189,439"
2000-Jun,"1,221,886"
2000-Jul,"1,433,040"
2000-Aug,"1,346,541"
2000-Sep,"1,392,378"
2000-Oct,"1,485,165"
2000-Nov,"1,460,152"
2000-Dec,"1,629,621"
2001-Jan,"1,653,860"
2001-Feb,"1,318,929"
2001-Mar,"1,411,517"
2001-Apr,"1,425,328"
2001-May,"1,238,755"
2001-Jun,"1,331,218"
2001-Jul,"1,546,897"
2001-Aug,"1,428,363"
2001-Sep,"1,378,708"
2001-Oct,"1,336,058"
2001-Nov,"1,237,788"
2001-Dec,"1,492,294"
2002-Jan,"1,527,639"
2002-Feb,"1,316,401"
2002-Mar,"1,448,119"
2002-Apr,"1,298,349"
2002-May,"1,211,763"
2002-Jun,"1,263,964"
2002-Jul,"1,464,448"
2002-Aug,"1,386,352"
2002-Sep,"1,358,345"
2002-Oct,"1,457,981"
2002-Nov,"1,389,986"
2002-Dec,"1,559,026"
2003-Jan,"1,598,226"
2003-Feb,"1,313,673"
2003-Mar,"1,313,140"
2003-Apr,"1,142,926"
2003-May,"1,003,499"
2003-Jun,"1,120,815"
2003-Jul,"1,421,333"
2003-Aug,"1,372,287"
2003-Sep,"1,428,359"
2003-Oct,"1,495,050"
2003-Nov,"1,524,535"
2003-Dec,"1,716,888"
2004-Jan,"1,778,590"
2004-Feb,"1,477,681"
2004-Mar,"1,514,354"
2004-Apr,"1,548,877"
2004-May,"1,380,365"
2004-Jun,"1,472,967"
2004-Jul,"1,730,049"
2004-Aug,"1,582,345"
2004-Sep,"1,603,455"
2004-Oct,"1,701,472"
2004-Nov,"1,668,500"
2004-Dec,"1,912,395"
2005-Jan,"2,006,131"
2005-Feb,"1,628,595"
2005-Mar,"1,740,596"
2005-Apr,"1,636,392"
2005-May,"1,484,764"
2005-Jun,"1,615,039"
2005-Jul,"1,879,159"
2005-Aug,"1,722,250"
2005-Sep,"1,741,951"
2005-Oct,"1,777,284"
2005-Nov,"1,690,372"
2005-Dec,"1,955,866"
2006-Jan,"2,041,289"
2006-Feb,"1,661,876"
2006-Mar,"1,698,098"
2006-Apr,"1,746,986"
2006-May,"1,513,002"
2006-Jun,"1,668,818"
2006-Jul,"1,882,070"
2006-Aug,"1,724,624"
2006-Sep,"1,798,009"
2006-Oct,"1,887,700"
2006-Nov,"1,783,038"
2006-Dec,"2,081,574"
2007-Jan,"2,134,432"
2007-Feb,"1,751,844"
2007-Mar,"1,888,462"
2007-Apr,"1,835,602"
2007-May,"1,610,518"
2007-Jun,"1,759,894"
2007-Jul,"1,982,065"
2007-Aug,"1,865,596"
2007-Sep,"1,907,614"
2007-Oct,"1,981,703"
2007-Nov,"1,902,776"
2007-Dec,"2,155,173"
2008-Jan,"2,207,325"
2008-Feb,"1,883,528"
2008-Mar,"1,968,083"
2008-Apr,"1,846,754"
2008-May,"1,745,985"
2008-Jun,"1,817,971"
2008-Jul,"2,127,733"
2008-Aug,"1,925,024"
2008-Sep,"1,871,998"
2008-Oct,"2,008,790"
2008-Nov,"1,889,936"
2008-Dec,"2,178,903"
2009-Jan,"2,249,424"
2009-Feb,"1,793,147"
2009-Mar,"1,871,540"
2009-Apr,"1,975,608"
2009-May,"1,764,508"
2009-Jun,"1,829,895"
2009-Jul,"2,139,351"
2009-Aug,"1,999,799"
2009-Sep,"2,086,767"
2009-Oct,"2,217,762"
2009-Nov,"2,075,908"
2009-Dec,"2,403,191"
2010-Jan,"2,482,669"
2010-Feb,"2,030,127"
2010-Mar,"2,145,529"
2010-Apr,"2,062,773"
2010-May,"1,886,099"
2010-Jun,"2,095,679"
2010-Jul,"2,401,136"
2010-Aug,"2,213,745"
2010-Sep,"2,316,363"
2010-Oct,"2,373,199"
2010-Nov,"2,205,642"
2010-Dec,"2,577,354"
2011-Jan,"2,709,123"
2011-Feb,"2,120,226"
2011-Mar,"2,111,623"
2011-Apr,"2,285,449"
2011-May,"2,079,485"
2011-Jun,"2,155,944"
2011-Jul,"2,531,894"
2011-Aug,"2,308,924"
2011-Sep,"2,401,935"
2011-Oct,"2,476,335"
2011-Nov,"2,302,972"
2011-Dec,"2,671,099"
2012-Jan,"2,803,526"
2012-Feb,"2,220,767"
2012-Mar,"2,325,361"
2012-Apr,"2,379,244"
2012-May,"2,099,103"
2012-Jun,"2,361,188"
2012-Jul,"2,595,183"
2012-Aug,"2,418,677"
2012-Sep,"2,532,916"
2012-Oct,"2,572,716"
2012-Nov,"2,450,674"
2012-Dec,"2,849,637"
2013-Jan,"2,887,496"
2013-Feb,"2,313,309"
2013-Mar,"2,497,251"
2013-Apr,"2,449,934"
2013-May,"2,274,189"
2013-Jun,"2,467,916"
2013-Jul,"2,795,406"
2013-Aug,"2,644,290"
2013-Sep,"2,680,985"
2013-Oct,"2,709,608"
2013-Nov,"2,553,483"
2013-Dec,"3,070,649"
2014-Jan,"3,201,609"
2014-Feb,"2,490,343"
2014-Mar,"2,531,778"
2014-Apr,"2,709,932"
2014-May,"2,448,609"
2014-Jun,"2,585,441"
2014-Jul,"2,957,222"
2014-Aug,"2,744,275"
2014-Sep,"2,781,028"
2014-Oct,"2,854,559"
2014-Nov,"2,668,537"
2014-Dec,"3,159,755"
2015-Jan,"3,282,915"
2015-Feb,"2,651,565"
2015-Mar,"2,802,213"
2015-Apr,"2,746,515"
2015-May,"2,527,461"
2015-Jun,"2,688,592"
2015-Jul,"3,089,421"
2015-Aug,"2,870,955"
2015-Sep,"2,933,459"
2015-Oct,"3,022,122"
2015-Nov,"2,823,632"
2015-Dec,"3,427,799"
2016-Jan,"3,560,271"
2016-Feb,"2,935,682"
2016-Mar,"3,009,317"
2016-Apr,"2,959,262"
2016-May,"2,690,863"
2016-Jun,"2,905,948"
2016-Jul,"3,407,850"
2016-Aug,"3,063,012"
2016-Sep,"3,175,613"
2016-Oct,"3,225,758"
2016-Nov,"3,025,559"
2016-Dec,"3,657,618"
2017-Jan,"3,802,113"
2017-Feb,"2,970,635"
2017-Mar,"3,059,339"
2017-Apr,"3,307,826"
2017-May,"2,871,230"
2017-Jun,"3,094,393"
2017-Jul,"3,540,914"
2017-Aug,"3,250,087"
2017-Sep,"3,330,398"
2017-Oct,"3,369,928"
2017-Nov,"3,191,909"
2017-Dec,"3,826,935"
2018-Jan,"3,885,401"
2018-Feb,"3,187,620"
2018-Mar,"3,370,279"
2018-Apr,"3,362,133"
2018-May,"3,026,652"
2018-Jun,"3,276,906"
2018-Jul,"3,711,115"
2018-Aug,"3,469,473"
2018-Sep,"3,462,722"
2018-Oct,"3,547,757"
2018-Nov,"3,324,676"
2018-Dec,"3,950,579"
2019-Jan,"4,073,072"
2019-Feb,"3,256,808"
2019-Mar,"3,285,273"
2019-Apr,"3,502,996"
2019-May,"3,207,929"
2019-Jun,"3,328,604"
2019-Jul,"3,735,622"
2019-Aug,"3,568,710"
2019-Sep,"3,496,774"
2019-Oct,"3,587,163"
2019-Nov,"3,426,434"
2019-Dec,"4,039,070"
2020-Jan,"4,154,051"
2020-Feb,"2,805,429"
2020-Mar,"1,725,729"
2020-Apr,"75,306"
2020-May,"52,989"
2020-Jun,"64,835"
2020-Jul,"73,851"
2020-Aug,"71,998"
2020-Sep,"62,120"
2020-Oct,"69,177"
2020-Nov,"67,211"
2020-Dec,"79,508"
2021-Jan,"67,472"
2021-Feb,"51,613"
2021-Mar,"58,491"
2021-Apr,"112,938"
2021-May,"214,246"
2021-Jun,"194,290"
2021-Jul,"154,692"
2021-Aug,"56,357"
2021-Sep,"42,149"
2021-Oct,"46,145"
2021-Nov,"156,211"
2021-Dec,"400,757"
2022-Jan,"442,275"
2022-Feb,"436,390"
2022-Mar,"698,111"
2022-Apr,"1,165,779"
2022-May,"1,294,714"
2022-Jun,"1,615,898"
2022-Jul,"2,057,279"
2022-Aug,"1,969,555"
2022-Sep,"2,095,491"
2022-Oct,"2,197,210"
2022-Nov,"2,359,973"
2022-Dec,"2,746,083"
2023-Jan,"2,960,999"
2023-Feb,"2,426,435"
2023-Mar,"2,649,592"
2023-Apr,"2,775,959"
2023-May,"2,654,594"
2023-Jun,"2,894,148"
2023-Jul,"3,233,840"
2023-Aug,"3,057,727"
2023-Sep,"3,179,078"
2023-Oct,"3,171,329"
2023-Nov,"3,113,173"
2023-Dec,"3,661,166"
2024-Jan,"3,808,592"
2024-Feb,"3,210,242"
2024-Mar,"3,265,630"
2024-Apr,"3,233,748"
2024-May,"3,027,361"
2024-Jun,"3,280,180"
2024-Jul,"3,568,114"
2024-Aug,"3,339,361"
